epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
47,5287.95,0.87283,1.79831,0.99276,1.13253,0,0.7216,0.71382,0.73955,0.57058,0.7018,0.69715,0.70663,0.52147,1.23972,2.04608,1.27753,1.35534,0,0.00068075,0.00068075,0.00068075
48,5402.16,0.87625,1.79312,0.99643,1.13675,0,0.71269,0.70522,0.75354,0.5785,0.69751,0.68301,0.71736,0.52644,1.22016,2.00073,1.25998,1.33239,0,0.000668375,0.000668375,0.000668375
49,5515.41,0.8649,1.74469,0.97341,1.12974,0,0.73963,0.70282,0.7431,0.56893,0.72339,0.69275,0.71654,0.52067,1.21905,2.04184,1.27627,1.34641,0,0.000656,0.000656,0.000656
50,5627.95,0.86668,1.76091,0.97541,1.12559,0,0.74979,0.67387,0.74509,0.56602,0.74,0.66559,0.7175,0.52562,1.2177,1.98921,1.23709,1.35226,0,0.000643625,0.000643625,0.000643625
51,5741.3,0.8542,1.7293,0.94602,1.11658,0,0.71928,0.70387,0.74379,0.57695,0.70691,0.69099,0.71435,0.52151,1.2232,1.99999,1.25576,1.34356,0,0.00063125,0.00063125,0.00063125
52,5855.14,0.85837,1.75204,0.9631,1.1313,0,0.74372,0.70524,0.7549,0.58086,0.72793,0.69449,0.72381,0.53702,1.21707,1.98543,1.23779,1.34106,0,0.000618875,0.000618875,0.000618875
53,5968.82,0.8458,1.72532,0.942,1.11792,0,0.76412,0.70889,0.75547,0.58818,0.74787,0.6938,0.72457,0.53679,1.21827,2.01364,1.2481,1.33634,0,0.0006065,0.0006065,0.0006065
54,6082,0.86787,1.73748,0.95841,1.1253,0,0.71469,0.71595,0.74519,0.58257,0.70468,0.70254,0.71471,0.5335,1.19974,2.03177,1.24045,1.32315,0,0.000594125,0.000594125,0.000594125
55,6193.58,0.84835,1.74654,0.93389,1.11421,0,0.75533,0.73009,0.76673,0.59657,0.7813,0.69369,0.73907,0.54312,1.20202,2.02124,1.22423,1.33348,0,0.00058175,0.00058175,0.00058175
56,6308.86,0.84517,1.73675,0.93949,1.11111,0,0.72695,0.72482,0.75831,0.59156,0.71512,0.71239,0.72852,0.54153,1.21394,2.02214,1.26003,1.34319,0,0.000569375,0.000569375,0.000569375
57,6424.51,0.8321,1.6986,0.92915,1.10876,0,0.76577,0.67939,0.74351,0.57578,0.75558,0.67595,0.71635,0.52961,1.19513,2.04637,1.2429,1.32643,0,0.000557,0.000557,0.000557
58,6540.06,0.83698,1.71761,0.92307,1.10476,0,0.74327,0.72119,0.76148,0.5936,0.74214,0.70083,0.73514,0.54192,1.21588,1.98749,1.24265,1.33596,0,0.000544625,0.000544625,0.000544625
59,6650.38,0.83186,1.70311,0.91088,1.10844,0,0.7431,0.74522,0.7666,0.60333,0.73737,0.72739,0.73348,0.55177,1.20184,2.00884,1.2201,1.32621,0,0.00053225,0.00053225,0.00053225
60,6760.11,0.83078,1.70247,0.91548,1.10837,0,0.73888,0.73591,0.76288,0.59838,0.72771,0.72968,0.73899,0.55407,1.19953,1.99883,1.21944,1.32827,0,0.000519875,0.000519875,0.000519875
61,6871.93,0.82794,1.70229,0.90469,1.1075,0,0.76245,0.71714,0.76905,0.60235,0.76759,0.70862,0.7452,0.5517,1.19925,1.99319,1.22153,1.32591,0,0.0005075,0.0005075,0.0005075
62,6981.58,0.82016,1.67878,0.88919,1.09927,0,0.76137,0.72808,0.77163,0.6112,0.76108,0.71653,0.74362,0.56131,1.18656,1.97548,1.21918,1.31728,0,0.000495125,0.000495125,0.000495125
63,7092.68,0.81541,1.66286,0.88832,1.09879,0,0.76333,0.72484,0.76505,0.61012,0.75205,0.7169,0.73591,0.55172,1.16586,1.96901,1.20174,1.30189,0,0.00048275,0.00048275,0.00048275
64,7202.5,0.82068,1.69572,0.8852,1.10137,0,0.76359,0.7213,0.76647,0.60525,0.7458,0.71108,0.73097,0.54588,1.17004,1.97026,1.1897,1.29829,0,0.000470375,0.000470375,0.000470375
65,7312.68,0.81963,1.67179,0.89053,1.10485,0,0.76579,0.71124,0.76328,0.60154,0.7555,0.70461,0.73931,0.54837,1.19279,1.98464,1.20062,1.32532,0,0.000458,0.000458,0.000458
66,7421.84,0.79906,1.65456,0.86396,1.08969,0,0.77308,0.71632,0.77284,0.60979,0.76039,0.70889,0.74388,0.54631,1.18239,1.97623,1.18306,1.30678,0,0.000445625,0.000445625,0.000445625
67,7532.46,0.81227,1.68773,0.87196,1.08862,0,0.79264,0.71648,0.7755,0.61616,0.78083,0.70682,0.74985,0.55604,1.16543,1.92972,1.18768,1.30499,0,0.00043325,0.00043325,0.00043325
68,7641.11,0.80916,1.67192,0.87411,1.09317,0,0.7425,0.73971,0.77471,0.60559,0.72532,0.72908,0.74264,0.54853,1.17328,1.92218,1.17877,1.31552,0,0.000420875,0.000420875,0.000420875
69,7749.65,0.80172,1.63679,0.86326,1.08968,0,0.7658,0.72183,0.77107,0.60547,0.77053,0.70696,0.74173,0.55236,1.1807,1.95094,1.17819,1.32067,0,0.0004085,0.0004085,0.0004085
70,7857.88,0.80916,1.65195,0.86501,1.0937,0,0.75588,0.72438,0.77341,0.60995,0.73682,0.71205,0.73914,0.55224,1.17435,1.97003,1.16297,1.31215,0,0.000396125,0.000396125,0.000396125
71,7971.76,0.80052,1.61475,0.85616,1.09013,0,0.74305,0.75984,0.78492,0.62343,0.72707,0.74416,0.7525,0.56503,1.17582,1.95304,1.17022,1.30062,0,0.00038375,0.00038375,0.00038375
72,8085.81,0.79215,1.63482,0.84803,1.08564,0,0.75265,0.75393,0.79205,0.62715,0.76504,0.72499,0.7583,0.56949,1.16697,1.94224,1.16039,1.29191,0,0.000371375,0.000371375,0.000371375
73,8198.32,0.78891,1.60015,0.8412,1.07931,0,0.77761,0.72483,0.78085,0.6166,0.76565,0.71378,0.75358,0.56307,1.1578,1.9764,1.18007,1.28795,0,0.000359,0.000359,0.000359
74,8309.41,0.79702,1.61373,0.84277,1.08215,0,0.76808,0.746,0.77909,0.61998,0.76089,0.72969,0.7527,0.56119,1.15242,1.96799,1.16233,1.28533,0,0.000346625,0.000346625,0.000346625
75,8419.09,0.78442,1.60756,0.83871,1.08159,0,0.7669,0.73454,0.77966,0.61914,0.76012,0.71941,0.74883,0.55494,1.16531,2.06387,1.15775,1.28862,0,0.00033425,0.00033425,0.00033425
76,8528.53,0.7764,1.60919,0.8119,1.07668,0,0.78388,0.71502,0.77773,0.61945,0.76665,0.70495,0.74613,0.55455,1.16208,2.04851,1.1579,1.29845,0,0.000321875,0.000321875,0.000321875
77,8640.28,0.76788,1.57284,0.80678,1.06819,0,0.73093,0.76483,0.78085,0.62026,0.72814,0.75137,0.75542,0.56705,1.16266,1.99876,1.16321,1.29574,0,0.0003095,0.0003095,0.0003095
78,8751.36,0.77617,1.59622,0.81303,1.0774,0,0.76171,0.74474,0.7859,0.62801,0.77735,0.71777,0.75744,0.5698,1.16663,2.01235,1.16005,1.30012,0,0.000297125,0.000297125,0.000297125
79,8862.87,0.75956,1.56096,0.80516,1.06957,0,0.76369,0.75175,0.79425,0.63524,0.74878,0.74065,0.76745,0.57906,1.15014,1.97777,1.13937,1.28542,0,0.00028475,0.00028475,0.00028475
80,8973.72,0.77884,1.60469,0.82188,1.07582,0,0.78873,0.72685,0.78962,0.63242,0.78407,0.7103,0.75733,0.57324,1.14406,1.96458,1.13744,1.27953,0,0.000272375,0.000272375,0.000272375
81,9085.88,0.75983,1.56528,0.801,1.0646,0,0.78882,0.74168,0.7859,0.62601,0.77989,0.73464,0.75835,0.56981,1.14932,1.96635,1.13396,1.27603,0,0.00026,0.00026,0.00026
82,9195.08,0.77421,1.55731,0.80878,1.07303,0,0.78947,0.73802,0.79316,0.63847,0.7743,0.72829,0.76283,0.57283,1.14308,1.95492,1.12417,1.27239,0,0.000247625,0.000247625,0.000247625
83,9305.74,0.76132,1.55755,0.79822,1.06828,0,0.745,0.76929,0.79265,0.63507,0.8034,0.70701,0.76388,0.57382,1.15351,1.95548,1.12927,1.28525,0,0.00023525,0.00023525,0.00023525
84,9414.46,0.75719,1.5527,0.79233,1.06688,0,0.78017,0.76279,0.79337,0.63557,0.76186,0.75276,0.76189,0.5775,1.14763,1.97883,1.12594,1.28037,0,0.000222875,0.000222875,0.000222875
85,9523.68,0.75772,1.5665,0.78573,1.06489,0,0.77669,0.74336,0.79131,0.63338,0.76417,0.7372,0.76447,0.57351,1.15737,1.95887,1.12879,1.28662,0,0.0002105,0.0002105,0.0002105
86,9631.45,0.75432,1.56926,0.78327,1.06397,0,0.7657,0.76299,0.79355,0.63569,0.75722,0.74108,0.75841,0.57349,1.14653,1.98979,1.12684,1.28225,0,0.000198125,0.000198125,0.000198125
87,9739.77,0.75375,1.54363,0.77254,1.06298,0,0.77509,0.75027,0.79344,0.63942,0.76202,0.74059,0.76652,0.58006,1.15246,1.98257,1.12321,1.28693,0,0.00018575,0.00018575,0.00018575
88,9848.49,0.75951,1.55684,0.78446,1.06479,0,0.75206,0.75345,0.79262,0.64085,0.7515,0.72865,0.76552,0.57591,1.14659,1.97085,1.11921,1.28423,0,0.000173375,0.000173375,0.000173375
89,9956.52,0.74209,1.5377,0.75817,1.0547,0,0.7723,0.74813,0.79431,0.63726,0.75846,0.7372,0.76357,0.57585,1.14502,1.94044,1.1113,1.27848,0,0.000161,0.000161,0.000161
90,10065.4,0.75054,1.536,0.77557,1.05958,0,0.76354,0.75962,0.79102,0.6347,0.75228,0.74273,0.76071,0.57284,1.14545,1.94918,1.12081,1.27912,0,0.000148625,0.000148625,0.000148625
91,10167.5,0.72261,1.36634,0.7448,1.07765,0,0.76957,0.75159,0.78944,0.62968,0.75755,0.74441,0.75917,0.57107,1.14308,1.9528,1.12012,1.27745,0,0.00013625,0.00013625,0.00013625
92,10266.2,0.70625,1.34184,0.70484,1.07254,0,0.78716,0.73514,0.78812,0.63466,0.77563,0.72686,0.76106,0.57267,1.14847,1.96472,1.11524,1.28232,0,0.000123875,0.000123875,0.000123875
93,10364.5,0.69885,1.33109,0.69298,1.06486,0,0.78084,0.74187,0.78923,0.63721,0.76935,0.72967,0.76033,0.57244,1.13999,1.97947,1.11271,1.27511,0,0.0001115,0.0001115,0.0001115
94,10462.9,0.6907,1.31176,0.68305,1.05845,0,0.75904,0.75291,0.79286,0.63883,0.74031,0.74489,0.76126,0.57413,1.13495,1.95264,1.10546,1.27002,0,9.9125e-05,9.9125e-05,9.9125e-05
95,10562.2,0.68764,1.30779,0.67375,1.0561,0,0.76829,0.74564,0.79562,0.6393,0.76092,0.73181,0.76505,0.57888,1.14182,1.96184,1.10307,1.2751,0,8.675e-05,8.675e-05,8.675e-05
96,10663.9,0.68388,1.30995,0.67339,1.05255,0,0.79309,0.73957,0.79603,0.64104,0.7693,0.72551,0.76354,0.57903,1.13569,1.94951,1.09484,1.27142,0,7.4375e-05,7.4375e-05,7.4375e-05
97,10765.9,0.67906,1.28812,0.66606,1.05056,0,0.78626,0.74825,0.79652,0.64078,0.76741,0.73313,0.7638,0.5813,1.13175,1.95551,1.09657,1.26981,0,6.2e-05,6.2e-05,6.2e-05
98,10867.2,0.68075,1.29872,0.67211,1.05134,0,0.78963,0.74246,0.79555,0.64048,0.78866,0.72455,0.7663,0.58027,1.13247,1.94849,1.09462,1.26942,0,4.9625e-05,4.9625e-05,4.9625e-05
99,10968.9,0.67943,1.28605,0.65753,1.04717,0,0.7992,0.73736,0.7943,0.64116,0.78571,0.72939,0.76503,0.57977,1.13462,1.94452,1.09782,1.27308,0,3.725e-05,3.725e-05,3.725e-05
100,11070.7,0.67434,1.28039,0.65717,1.0518,0,0.8015,0.73802,0.79516,0.64351,0.78508,0.72817,0.76556,0.5799,1.13161,1.94781,1.09384,1.27074,0,2.4875e-05,2.4875e-05,2.4875e-05
